GeoFips,GeoName,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39081,"Jefferson, OH",1298333,1325580,1389718,1417900,1456211,1449742,1570308,1593693,1655324,1758145,1804084,1832657,1914968,1899781,1971429,2060454,2147742,2088489,2103665,2217361,2235646,2251541,2321664,2374837,2344917,2452269,2539526,2646471,2804020,2980427
39083,"Knox, OH",816744,861654,949681,982257,1064952,1122374,1172125,1192001,1287602,1364905,1420749,1484816,1567491,1634011,1738469,1841999,1916208,1912945,1915284,2079653,2187443,2245399,2334526,2379037,2392545,2477114,2643592,2780884,3042123,3197411
39085,"Lake, OH",4788626,4973010,5264045,5498002,5767827,6151351,6486688,6658955,6972936,7022716,6998522,7311754,7549699,7827222,8222652,8644855,8917885,8626369,8841772,9393205,9660070,9910030,10324406,10583748,10793748,11192887,11692930,12052077,12797156,13663774
39087,"Lawrence, OH",884586,915529,956028,993694,1029362,1101279,1136696,1163321,1203753,1251396,1284521,1348307,1417764,1479568,1570305,1672439,1795322,1853394,1903747,1980396,2011972,1993144,2059697,2120722,2128721,2192975,2286031,2364912,2551325,2695407
39089,"Licking, OH",2491544,2621867,2835905,2966733,3166685,3347012,3588897,3725425,3993463,4114672,4205041,4308868,4500813,4649647,5050110,5401368,5699890,5696064,5829798,6197385,6406862,6600293,6849083,7166937,7369631,7741717,8033367,8373497,9213827,9943215
39091,"Logan, OH",803031,821720,856398,900373,974142,1044575,1093567,1122017,1166486,1207407,1232901,1271524,1343095,1370865,1406488,1464927,1495272,1429038,1465795,1549200,1639035,1708967,1724141,1737104,1773185,1850610,1934339,1970713,2114659,2255587
39093,"Lorain, OH",5110344,5343181,5730088,6023297,6284097,6618667,6961338,7247842,7659606,7798586,7819145,8184505,8631471,9038368,9552105,10008950,10486362,10277552,10536584,11173283,11612271,11922554,12305118,12712883,13141278,13664592,14252525,14916502,15970295,17180773
39095,"Lucas, OH",9381738,9714722,10164658,10642471,10913995,11418997,11843645,12230153,12700489,13163163,13427585,13749552,13858329,14037934,14709697,15180948,15346402,14971297,15399820,16292946,16561187,16713686,17492680,18197140,18575546,18831357,19625097,20373347,21643519,22879384
39097,"Madison, OH",664903,691606,745986,786605,838550,908672,946712,911933,972686,1011476,1016181,1066884,1169061,1192345,1229465,1266997,1323742,1312844,1365240,1477568,1499601,1582022,1600011,1634853,1705884,1788389,1814753,1877208,2094999,2255814
39099,"Mahoning, OH",4902255,5061537,5259274,5512579,5596859,5890634,6093748,6225581,6458658,6866372,6958015,7252096,7390597,7622424,8064576,8197113,8568282,8029457,8266654,8772719,8883129,8847868,9092983,9260120,9260271,9388605,9690856,10005106,10828243,11600455
39101,"Marion, OH",1092685,1124379,1215647,1261531,1300175,1371877,1452295,1464154,1533825,1570565,1605747,1667882,1713697,1747025,1790652,1908057,1947363,1934734,1944893,2018260,2051253,2073504,2106672,2153119,2248819,2350289,2419234,2417490,2627719,2792235
